no;eqrat;div;perfor;ltass;gap;dealdum;roe;bonus;optval;no_emp;no_subs;no_off;ceo_age;mktbk;cfa;linsown;linstown;dum97;dum98;dum99;dum00;d2
1;0.062286619;107770;0.095114231;17.73598099;0.070445187;1;7.78000021;1275000;0;5801;2;94;68;183;0.005262299;-0.198450938;3.875359058;0;1;0;0;1
2;0.063225478;84307;0.085960418;17.77248573;0.012250786;1;13.43999958;1328937;0;5698;2;97;66;194.5;0.008818626;0;3.795489073;0;0;0;0;1
3;0.061791547;100569;0.098322965;17.83438301;0.012689699;1;13.31999969;1505000;0;5943;2;94;67;226.5;0.008515061;-0.127833366;3.862832785;1;0;0;0;1
4;0.100403018;5056;0;14.15424061;0.153286323;1;10.27000046;0;0;595;1;26;61;120.5999985;0.015007501;0.542324305;2.933856964;0;0;0;0;0
5;0.101357222;5176;0;14.21904087;0.083330385;0;10.18000031;0;0;600;1;26;62;132.5;0.015032386;0.364643127;3.82646513;1;0;0;0;0
6;0.094860286;5335;0;14.26076317;0.013638416;1;9.789999962;25988;0;586;1;27;63;117.5;0.016376607;0.398776114;2.995732307;0;1;0;0;0
7;0.087506704;5241;0;14.31415653;0.064070806;0;10.93000031;33908;0;540;1;26;64;157.1999969;0.014387568;0.582215607;3.238678455;0;0;1;0;0
8;0.078876428;5370;0;14.41265202;0.018274352;0;13.55000019;119130;0;509;1;24;65;161;0.015202668;1.19088757;3.335769653;0;0;0;1;0
9;0.077552773;64893;0;16.50390434;0.306426555;1;16.64999962;165105;609984;7017;5;262;62;237.3999939;0.01525351;1.757857919;3.795489073;0;0;0;0;1
10;0.076118432;75696;0;16.66664505;0.24777478;1;16.93000031;218858;511824;7673;3;283;63;297.2999878;0.016324509;2.388762713;3.781914234;1;0;0;0;1
11;0.073562108;95582;0;16.89232063;0.327068746;1;16.21999931;343901;1132974;9424;5;322;64;223.1999969;0.015401339;2.331172466;3.703768015;0;1;0;0;1
12;0.076975845;107960;0;16.95069695;0.211788088;0;16.18000031;344315;897017;9602;5;334;65;133.6000061;0.015532516;2.362739086;3.608211517;0;0;1;0;1
13;0.076101065;47361;0.144785523;16.45523071;0.358051717;0;12.43000031;491973;704167;5023;3;123;56;172.8999939;0.013053265;0.69813472;4.074141979;0;0;0;0;1
14;0.092777565;56471;0.154791072;16.45646858;0.156522125;1;9.210000038;0;10000452;4166;2;104;54;125.4000015;0.020469287;1.11514163;4.189654827;0;0;0;1;1
15;0.08395277;54640;0.156422257;16.48555565;0.116846785;1;10.98999977;0;211458;4538;2;110;59;108.0999985;0.015834708;1.04380405;4.163559437;0;0;1;0;1
16;0.074500635;49725;0.150086865;16.52329063;0.353070378;1;12.56999969;80151;651575;5114;4;115;57;156.5;0.013306869;0.69813472;3.903990746;1;0;0;0;1
17;0.078948028;52776;0.165365323;16.52471924;0.344497085;1;9.220000267;2.00E+05;843750;4964;3;110;58;150.3000031;0.014957119;0.751416087;4.122283936;0;1;0;0;1
18;0.093759947;9083;0;14.75100994;0.183241665;0;16.79000092;260000;487710;831;3;57;42;269.3999939;0.019234942;1.941615224;3.335769653;0;0;0;0;0
19;0.105796523;13406;0;15.1631794;0.176076621;0;12.71000004;150000;616000;1288;2;80;43;353.6000061;0.019571547;2.006870747;3.440418005;1;0;0;0;0
20;0.077126801;25581;0;15.17581367;0.018457299;0;23.30999947;350000;2213069;1094;2;90;45;274.7000122;0.01906771;1.704748035;3.624341011;0;0;1;0;0
21;0.083580822;26993;0;15.21199322;0.043011036;0;25.78000069;4.00E+05;2092000;1095;1;93;46;409.1000061;0.018418629;1.902107477;3.720862389;0;0;0;1;0
22;0.088211529;37579;0.037593618;15.89522362;0.344326049;0;11.88000011;462691;207167;3384;3;117;55;152.5;0.014504683;3.305420399;3.443618059;0;0;0;0;1
23;0.09041056;39295;0.042647637;15.9065218;0.290136069;0;11.60999966;498483;886667;3199;2;114;56;163.6000061;0.015573529;3.316002607;3.586292982;1;0;0;0;1
24;0.110823765;38740;0.043036707;16.52688217;0.077435426;1;8.859999657;501189;859950;4851;2;201;58;139.3000031;0.009030096;3.374511004;3.54385376;0;1;0;0;0
25;0.110468648;77446;0.02467089;16.62978172;0.005377248;1;9.609999657;607493;890217;4918;2;221;59;102.3000031;0.014534901;3.292497873;3.049273014;0;0;1;0;0
26;0.107790314;84731;0.021892482;16.73095703;0.037693802;1;11.36999989;637868;1028066;5009;5;229;60;163.3999939;0.015389607;3.295836926;3.020424843;0;0;0;1;1
27;0.081110612;179215;2.82E-06;17.32468033;0.312939197;1;17.45000076;846640;979225;14055;16;635;59;292.3999939;0.018720839;2.128231764;3.864931345;0;0;0;0;0
28;0.082603201;780000;0.152493864;19.33997917;0.245025978;1;14.17000008;2750000;3460917;77992;14;1923;49;234.6999969;0.016346764;-0.328504056;4.05525732;0;0;0;0;1
29;0.076249525;853000;0.139235586;19.37680435;0.252872288;1;16;4250000;58515516;77002;14;1923;50;277.2000122;0.01737399;-0.733969152;4.062165737;1;0;0;0;1
30;0.0724824;24997;0;15.68218327;0.424569756;0;21.62999916;2.00E+05;120833;3077;3;141;42;359.8999939;0.01534343;2.778198004;3.433987141;0;0;0;0;0
31;0.064951539;28387;0;16.06495667;0.372841299;1;19.87999916;235000;413333;4347;6;228;43;442.7000122;0.0140711;2.545531273;3.391147137;1;0;0;0;0
32;0.060880497;40669;0;16.62791634;0.286385357;1;16.37999916;255000;582000;6793;6;328;44;518.2999878;0.010914881;2.437115908;3.668676853;0;1;0;0;0
33;0.081835665;56881;0;16.82527351;0.310713679;1;12.42000008;0;829500;6833;6;343;45;192.1000061;0.01227428;2.123458386;3.889777422;0;0;1;0;0
34;0.081084088;76762;0;16.90374374;0.384344071;1;9.649999619;3.00E+05;865122;6915;6;374;46;271.2000122;0.009921798;2.052840948;3.879499912;0;0;0;1;0
35;0.132249668;462255;0.000489693;18.39491081;0.389242262;1;8.729999542;2.00E+06;2286693;33100;1;1835;56;221.6999969;0.020980891;0.431782424;4.058717251;1;0;0;0;1
36;0.129604816;428671;0.000381051;18.50583267;0.319327354;1;8.819999695;2.00E+06;2729373;36902;1;1580;50;215.8000031;0.013532828;0.431782424;4.174387455;0;0;0;0;1
37;0.095155947;15815;0;15.25332356;0.362601131;0;17.81999969;272250;0;1335;1;23;47;271.1000061;0.015491244;2.995732307;3.758871794;0;0;0;0;1
38;0.096942641;20310;0;15.47417259;0.323241472;0;16.95000076;335000;725100;1570;1;38;48;342.2000122;0.014760444;2.91017437;3.808882237;1;0;0;0;1
39;0.087402664;26042;0;15.67613602;0.348516196;0;17.87000084;877500;5068683;1670;1;38;49;273.8999939;0.014730491;2.906354427;3.856510401;0;1;0;0;1
40;0.079245679;30172;0;15.7914772;0.249108493;0;19.15999985;906188;0;1874;1;46;50;209.6999969;0.015226117;2.966818333;3.945457697;0;0;1;0;1
41;0.081750743;32846;0.001002649;16.02340317;0.274648607;0;19.71999931;1017359;748743;2034;1;48;51;240.1999969;0.017558675;3.025290966;3.943521738;0;0;0;1;1
42;0.084086292;29;0;15.04088497;0.42569688;1;23.09000015;482812;1112353;851;1;11;61;226.1000061;0.02503904;2.979094744;3.363841534;0;0;0;0;0
43;0.073966153;18;0;15.37495136;0.664504051;1;17.32999992;767442;0;1012;2;12;78;349.7999878;0.019985862;2.904712915;3.465735912;1;0;0;0;0
44;0.061478976;0;0;15.64176941;0.677441716;1;11.57999992;722909;627300;1246;2;13;79;223.3999939;0.015987476;2.903616905;3.718438149;0;1;0;0;0
45;0.068924874;0;0;15.74244881;0.576761246;1;21.18000031;983883;0;1250;2;18;80;252;0.02100518;2.895359278;3.475067139;0;0;1;0;0
46;0.08416307;4616;0;14.15915966;0.038527492;0;5.980000019;0;0;469;2;24;83;95.40000153;0.011344714;1.61740613;2.809402704;0;0;0;0;0
47;0.092669755;782;0;14.17209244;0.151037708;0;5.900000095;1.00E+05;177083;518;2;23;57;73.30000305;0.01862384;1.425515056;2.928523541;0;1;0;0;0
48;0.086736672;1686;0;14.18146706;0.031410791;0;5.900000095;15000;179167;499;2;24;56;108.5999985;0.015056596;1.63510561;2.884800673;1;0;0;0;0
49;0.070816629;931;0;14.29765797;0.170746297;0;0.239999995;1.00E+05;152500;518;2;22;58;77.30000305;0.009763829;0.879626751;3.025290966;0;0;1;0;0
50;0.071547575;1093;0;14.3586483;0.109896012;0;9.5;2.00E+05;142500;458;1;21;59;88;0.016111305;0.879626751;2.879198551;0;0;0;1;0
51;0.09693905;3308;0;14.22724438;0.097813547;0;20.40999985;1497504;0;316;1;15;63;284.3999939;0.01902635;3.665354967;3.605497837;1;0;0;0;0
52;0.096994326;4213;0;14.33479214;0.05164741;0;17.59000015;1558863;0;330;1;16;64;172.3999939;0.019132923;3.251923561;3.824284077;0;1;0;0;0
53;0.076274641;4034;0;14.37180519;0.094555259;0;20.47999954;1659757;0;333;1;17;65;184;0.0221311;3.285037994;3.54385376;0;0;1;0;0
54;0.095364086;4513;0;14.49309063;0.096020222;0;24.79999924;1500000;0;356;1;18;52;187.6999969;0.021647388;3.510649443;3.720862389;0;0;0;1;0
55;0.076771274;3083;0;13.96429348;0.152292997;0;16.09000015;204750;0;399;1;23;58;208.6000061;0.016988661;3.837299347;1.52605629;0;0;0;0;0
56;0.081099071;4503;0;14.04564476;0.060413785;0;18.21999931;224475;0;391;1;23;59;377.6000061;0.01774432;3.860519171;1.481604576;1;0;0;0;0
57;0.07439974;6503;0;14.25711918;0.007141815;0;18.65999985;303240;195800;404;1;24;60;291.1000061;0.015724596;3.563032627;1.629240513;0;1;0;0;0
58;0.070028313;9841;0;14.51373863;0.015738336;0;17.89999962;323700;0;445;1;30;61;242.6000061;0.014114607;3.599775076;2.47653842;0;0;1;0;0
59;0.082679898;5413;0;14.07888985;0.350292772;0;14.92000008;0;208454;508;1;15;65;220.3999939;0.016621584;2.175887346;2.912350655;0;0;0;0;0
60;0.074206881;7454;0;14.28074455;0.221063867;0;17.55999947;125000;206550;680;1;25;66;354;0.017915255;2.636196137;2.949688435;1;0;0;0;0
61;0.079831116;15283;0;14.78985024;0.157529697;0;14.18999958;175000;0;976;2;37;67;277.5;0.014599433;2.470638752;3.030133724;0;1;0;0;0
62;0.081469268;17659;0;14.87305164;0.156723797;0;19.44000053;2.00E+05;156243;1016;2;37;68;261.7999878;0.016870178;2.40694499;2.975529671;0;0;1;0;0
63;0.093374901;2973;0;14.04298306;0.106692329;0;12.97000027;46000;12373;652;1;41;51;240.6999969;0.017817102;2.339880943;2.77258873;0;1;0;0;0
64;0.086214013;3564;0;14.11908054;0.114117876;0;14.85999966;0;55623;594;1;42;54;139.6000061;0.018524574;2.450142622;3.034952879;0;0;1;0;0
65;0.089499995;4166;0;14.11928368;0.093497895;0;9.859999657;0;749690;563;1;40;55;142.1000061;0.014880133;2.318458557;3.26956892;0;0;0;1;0
66;0.142497748;15915;0.002283186;14.78949833;0.095163874;0;12.77999973;0;0;1110;1;52;56;152.5;0.020355796;2.152924299;1.774952292;0;0;0;0;0
67;0.143633962;15651;0.001903478;14.83690548;0.147119656;0;13.21000004;49147;0;1103;1;52;57;243.5;0.020762561;2.219203472;2.128231764;1;0;0;0;0
68;0.143046066;17764;0.001511254;14.90594959;0.090099074;0;13.38000011;0;0;1098;1;53;58;218.3000031;0.019833781;2.197224617;2.151762247;0;1;0;0;0
69;0.14782095;18162;0;14.93180084;0.097305886;0;14.22000027;0;0;1218;1;54;59;196.8000031;0.021397378;2.197224617;1.840549588;0;0;1;0;0
70;0.112592317;0;0;13.95347786;0.042819385;0;18.27000046;221313;32000;357;1;23;66;333.1000061;0.023307879;2.787477255;-0.693147183;0;1;0;0;0
71;0.118311465;4379;0;14.03512955;0.024254939;0;18.43000031;241760;33330;410;1;25;67;227.6999969;0.021666631;2.799108982;1.163150787;0;0;1;0;0
72;0.113414228;10628;0;14.34079647;0.059217252;0;20.15999985;271760;33327;511;1;37;68;233.8999939;0.016591925;2.717340231;2.104134083;0;0;0;1;0
73;0.070354328;0;0;14.47019959;0.662684798;1;17.92000008;375124;0;384;1;5;49;260.2000122;0.019862367;2.050270081;3.964615345;0;0;0;0;0
74;0.06646546;0;0;14.78063869;0.641412616;1;18.20000076;250000;275000;454;1;6;50;328.6000061;0.017055962;2.158714771;4.131961346;1;0;0;0;0
75;0.060885042;0;0;15.0811758;0.685119689;1;14.52000046;0;0;590;1;6;51;186.5;0.021965042;1.757857919;4.175924778;0;1;0;0;0
76;0.080249146;0;0;15.34076214;0.491431803;1;21.92000008;345000;0;700;1;6;52;526.7000122;0.02555796;2.005525827;4.165113449;0;0;1;0;0
77;0.108846247;0;0;15.54576492;0.474228948;1;33.27999878;325000;0;959;1;6;53;232.3000031;0.041513007;1.599387527;4.334672928;0;0;0;1;0
78;0.093656659;4989;0;14.14075184;0.421193838;0;2.369999886;175000;226625;472;2;32;42;328.8999939;0.006338646;3.605497837;3.091042519;1;0;0;0;0
79;0.135814741;8913;0;14.76806259;0.452492327;0;5.940000057;0;0;1052;3;34;43;185.1000061;0.010716278;3.081909895;3.421000004;0;1;0;0;0
80;0.043600317;321000;0.183481932;18.60337639;0.19682619;1;11.77999973;8099500;2038320;15228;1;1;54;177.1999969;0.004864842;1.131402135;4.09267664;0;0;0;0;1
81;0.040741745;363000;0.094996572;18.75788116;0.184058756;1;14.94999981;9965300;2420000;18286;1;1;55;244;0.006480992;1.131402135;3.822098255;1;0;0;0;1
82;0.091947548;328200;0.225921124;17.83666039;0.368115187;1;19.78000069;4293750;1805040;16158;2;383;64;320.8999939;0.027691582;-0.510825634;4.169761181;0;0;0;0;1
83;0.083411612;373456;0.276438087;17.90920067;0.335352331;1;21.86000061;7009375;2875000;16494;2;377;51;432.1000061;0.022126662;-0.210721031;4.109233379;1;0;0;0;1
